election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit46",5,1824.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit47",5,1855.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit48",5,1835.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit49",5,1852.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit50",5,1842.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit51",5,1845.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit52",5,1843.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit53",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit54",5,1849.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit55",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit56",5,1855.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit57",5,1850.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit58",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit59",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit60",5,1847.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit61",5,1821.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit62",5,1854.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit63",5,1850.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit64",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit65",5,1845.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit66",5,1857.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit67",5,1829.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit68",5,1839.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit69",5,1862.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit70",5,1829.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit71",5,1820.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit72",5,1847.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit73",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit74",5,1831.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit75",5,1826.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit76",5,1861.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit77",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit78",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit79",5,1826.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit80",5,1833.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit81",5,1830.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit82",5,1844.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit83",5,1849.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit84",5,1840.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit85",5,1857.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit86",5,1839.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit87",5,1844.0,21
