election,candidates,complete,incomplete
SGE2015 LA Pref Data_NA_Holsworthy.csv,6,23.9,76.1
SGE2015 LA Pref Data_NA_Wollondilly.csv,6,24.9,75.1
SGE2015 LA Pref Data_NA_Wollongong.csv,7,23.2,76.8
SGE2015 LA Pref Data_NA_Penrith.csv,8,13.0,87.0
SGE2015 LA Pref Data_NA_Upper Hunter.csv,6,24.1,75.9
SGE2015 LA Pref Data_NA_Bathurst.csv,5,27.2,72.8
SGE2015 LA Pref Data_NA_Bankstown.csv,6,17.6,82.4
SGE2015 LA Pref Data_NA_Dubbo.csv,7,23.6,76.4
SGE2015 LA Pref Data_NA_Newcastle.csv,7,18.4,81.6
SGE2015 LA Pref Data_NA_Campbelltown.csv,5,32.5,67.5
SGE2015 LA Pref Data_NA_Tweed.csv,5,31.9,68.1
SGE2015 LA Pref Data_NA_Wakehurst.csv,6,17.0,83.0
SGE2015 LA Pref Data_NA_Kogarah.csv,6,15.4,84.6
SGE2015 LA Pref Data_NA_Lake Macquarie.csv,7,26.6,73.4
SGE2015 LA Pref Data_NA_Manly.csv,5,22.2,77.8
SGE2015 LA Pref Data_NA_Canterbury.csv,5,33.5,66.5
SGE2015 LA Pref Data_NA_Coffs Harbour.csv,5,26.0,74.0
SGE2015 LA Pref Data_NA_Port Macquarie.csv,5,26.5,73.5
SGE2015 LA Pref Data_NA_Granville.csv,6,25.7,74.3
SGE2015 LA Pref Data_NA_Maitland.csv,6,27.5,72.5
SGE2015 LA Pref Data_NA_Gosford.csv,6,31.8,68.2
SGE2015 LA Pref Data_NA_Albury.csv,5,31.8,68.2
SGE2015 LA Pref Data_NA_Lane Cove.csv,6,19.9,80.1
SGE2015 LA Pref Data_NA_Ku-ring-gai.csv,5,22.7,77.3
SGE2015 LA Pref Data_NA_Goulburn.csv,6,29.3,70.7
SGE2015 LA Pref Data_NA_Lakemba.csv,5,28.4,71.6
SGE2015 LA Pref Data_NA_Hawkesbury.csv,8,14.0,86.0
SGE2015 LA Pref Data_NA_Miranda.csv,6,24.1,75.9
SGE2015 LA Pref Data_NA_Bega.csv,5,30.9,69.1
SGE2015 LA Pref Data_NA_North Shore.csv,7,20.4,79.6
SGE2015 LA Pref Data_NA_Wagga Wagga.csv,6,29.7,70.3
SGE2015 LA Pref Data_NA_Swansea.csv,8,13.5,86.5
SGE2015 LA Pref Data_NA_Prospect.csv,5,29.4,70.6
SGE2015 LA Pref Data_NA_Wallsend.csv,5,21.9,78.1
SGE2015 LA Pref Data_NA_Heathcote.csv,6,28.9,71.1
SGE2015 LA Pref Data_NA_Drummoyne.csv,6,18.5,81.5
SGE2015 LA Pref Data_NA_Seven Hills.csv,7,21.1,78.9
SGE2015 LA Pref Data_NA_Terrigal.csv,5,28.3,71.7
SGE2015 LA Pref Data_NA_Cabramatta.csv,5,22.5,77.5
SGE2015 LA Pref Data_NA_Cootamundra.csv,5,26.2,73.8
SGE2015 LA Pref Data_NA_Mulgoa.csv,5,23.7,76.3
SGE2015 LA Pref Data_NA_Willoughby.csv,6,17.4,82.6
SGE2015 LA Pref Data_NA_Blue Mountains.csv,6,38.6,61.4
SGE2015 LA Pref Data_NA_Liverpool.csv,5,22.0,78.0
SGE2015 LA Pref Data_NA_Balmain.csv,7,26.7,73.3
SGE2015 LA Pref Data_NA_Newtown.csv,7,29.9,70.1
